#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_101403	1913	2908	-	cfxA6_1	1-996/996	===============	0/0	100.00	99.70	resfinder	GQ342996	cfxA6	
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_102369	100	542	+	nimD_1	1-443/495	==============.	0/0	89.49	99.10	resfinder	X76949	nimD	Metronidazole
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_110153	224	1060	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_110153	1060	1862	-	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_111206	23	1305	-	tet(32)_1	1-1283/1920	===========....	0/0	66.82	97.19	resfinder	EU722333	tet(32)	Doxycycline;Minocycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_113967	983	1471	-	dfrD_1	1-489/489	===============	0/0	100.00	99.80	resfinder	Z50141	dfrD	Trimethoprim
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_114314	777	1997	-	tet(40)_1	1-1221/1221	===============	0/0	100.00	99.92	resfinder	FJ158002	tet(40)	Doxycycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_116861	60	750	-	aadA7_1	108-798/798	..=============	0/0	86.59	98.41	resfinder	AF224733	aadA7	Spectinomycin;Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_117352	413	1166	-	tet(G)_1	423-1176/1176	.....==========	0/0	64.12	92.71	resfinder	AF133139	tet(G)	Doxycycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_121045	42	695	+	aadA2_1	18-671/819	=============..	0/0	79.85	99.39	resfinder	NC_010870	aadA2	Spectinomycin;Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_121473	468	1230	+	erm(B)_18	1-762/762	========/======	1/1	100.00	91.61	resfinder	X66468	erm(B)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_125445	556	1487	-	ant(3'')-Ia_1	34-972/972	========/======	3/7	95.88	99.04	resfinder	X02340	ant(3'')-Ia	Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_14416	5546	7465	+	tet(W)_5	1-1920/1920	===============	0/0	100.00	99.90	resfinder	AJ427422	tet(W)	Doxycycline;Minocycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_14538	35	901	+	ant(6)-Ia_3	1-867/867	===============	0/0	100.00	100.00	resfinder	KF864551	ant(6)-Ia	Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_15569	571	1107	+	catS_1	1-537/537	===============	0/0	100.00	98.70	resfinder	X74948	catS	Chloramphenicol
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_18987	1747	2241	-	lnu(C)_1	1-495/495	===============	0/0	100.00	98.79	resfinder	AY928180	lnu(C)	Lincomycin
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_19126	220	1386	-	tet(X)_2	1-1167/1167	===============	0/0	100.00	99.83	resfinder	M37699	tet(X)	Doxycycline;Minocycline;Tetracycline;Tigecycline
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_19205	158	958	+	erm(F)_3	1-801/801	===============	0/0	100.00	100.00	resfinder	M17808	erm(F)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_27985	299	1451	+	tet(M)_4	1-1153/1920	==========.....	0/0	60.05	97.22	resfinder	X75073	tet(M)	Doxycycline;Minocycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_28843	338	1291	+	cmx_1	1-954/1176	=============..	0/0	81.12	99.58	resfinder	U85507	cmx	Chloramphenicol
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_34128	4243	4740	-	dfrG_1	1-498/498	===============	0/0	100.00	100.00	resfinder	AB205645	dfrG	Trimethoprim
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_34937	1	1358	+	tet(44)_1	566-1923/1923	....===========	0/0	70.62	97.79	resfinder	NZ_ABDU01000081	tet(44)	Doxycycline;Minocycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_3745	729	1591	-	ant(6)-Ia_3	1-860/867	========/======	1/3	99.19	82.39	resfinder	KF864551	ant(6)-Ia	Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_3872	81	554	-	dfrA1_8	1-474/474	===============	0/0	100.00	99.79	resfinder	X00926	dfrA1	Trimethoprim
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_39409	1	775	+	mph(G)_1	98-872/885	.==============	0/0	87.57	99.61	resfinder	AB571865	mph(G)	Erythromycin
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_53156	1	575	+	blaOXA-10_1	158-732/801	..============.	0/0	71.79	99.30	resfinder	J03427	blaOXA-10	Amoxicillin;Ampicillin;Aztreonam;Piperacillin;Piperacillin+Tazobactam
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_55483	13331	15256	+	tet(Q)_1	1-1926/1926	===============	0/0	100.00	99.90	resfinder	L33696	tet(Q)	Doxycycline;Minocycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_56841	141	1391	+	cfr(C)_2	1-1251/1251	===============	0/0	100.00	100.00	resfinder	CANB01000378	cfr(C)	Chloramphenicol;Clindamycin;Dalfopristin;Florfenicol;Lincomycin;Linezolid;Pristinamycin_IIA;Tiamulin;Virginiamycin_M
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_57475	629	1834	+	tet(B)_1	1-1206/1206	===============	0/0	100.00	100.00	resfinder	AP000342	tet(B)	Doxycycline;Minocycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_58006	699	1258	-	blaSCO-1_1	308-867/867	.....==========	0/0	64.59	100.00	resfinder	EF063111	blaSCO-1	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Piperacillin;Piperacillin+Clavulanic_acid;Ticarcillin;Ticarcillin+Clavulanic_acid
/home/user/ww_amr_batch/contigs/SRR2938326.contigs.fa	k141_59175	1	635	+	blaOXA-46_1	167-801/801	...============	0/0	79.28	98.58	resfinder	AF317511	blaOXA-46	Amoxicillin;Ampicillin
