#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_100721	7076	9001	+	tet(Q)_1	1-1926/1926	===============	0/0	100.00	99.58	resfinder	L33696	tet(Q)	Doxycycline;Minocycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_105326	439	1095	-	qnrS2_1	1-657/657	===============	0/0	100.00	100.00	resfinder	DQ485530	qnrS2	Ciprofloxacin
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_116859	244	480	-	dfrB1_1	1-237/237	===============	0/0	100.00	100.00	resfinder	U36276	dfrB1	Trimethoprim
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_119786	749	1730	-	cfxA6_1	15-996/996	===============	0/0	98.59	99.80	resfinder	GQ342996	cfxA6	
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_121260	1530	2495	-	cfxA3_1	1-966/966	===============	0/0	100.00	100.00	resfinder	AF472622	cfxA3	Ampicillin
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_123440	208	1008	-	erm(F)_3	1-801/801	===============	0/0	100.00	99.75	resfinder	M17808	erm(F)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_123461	176	1000	+	blaOXA-347_1	1-825/825	===============	0/0	100.00	100.00	resfinder	ACWG01000053	blaOXA-347	
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_136165	7683	8219	-	catS_1	1-537/537	===============	0/0	100.00	98.70	resfinder	X74948	catS	Chloramphenicol
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_141448	1	783	-	blaOXA-211_1	1-783/825	===============	0/0	94.91	94.76	resfinder	JN861779	blaOXA-211	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_145431	455	1339	-	mph(G)_1	1-885/885	===============	0/0	100.00	90.62	resfinder	AB571865	mph(G)	Erythromycin
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_1470	140	747	+	blaOXA-205_1	1-609/801	========/===...	1/1	75.91	99.51	resfinder	JF800667	blaOXA-205	Amoxicillin;Ampicillin;Piperacillin
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_1476	354	984	-	blaOXA-119_1	171-801/801	...============	0/0	78.78	98.73	resfinder	DQ767903	blaOXA-119	
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_150980	1	1383	+	lsa(E)_1	103-1485/1485	.==============	0/0	93.13	98.19	resfinder	JX560992	lsa(E)	Clindamycin;Dalfopristin;Lincomycin;Pristinamycin_IIA;Tiamulin;Virginiamycin_M
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_150980	1437	2240	+	lnu(B)_2	1-804/804	===============	0/0	100.00	98.26	resfinder	JQ861959	lnu(B)	Clindamycin;Lincomycin
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_154176	1254	2471	-	tet(E)_3	1-1218/1218	===============	0/0	100.00	99.42	resfinder	CP000645	tet(E)	Doxycycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_194580	1	1916	-	tet(O)_1	1-1916/1920	===============	0/0	99.79	99.43	resfinder	M18896	tet(O)	Doxycycline;Minocycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_220046	2	529	+	blaOXA-211_1	123-650/825	..==========...	0/0	64.00	96.21	resfinder	JN861779	blaOXA-211	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_23155	254	931	-	erm(50)_1	115-792/792	..=============	0/0	85.61	93.36	resfinder	LC473083	erm(50)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_233785	1	378	+	fosA_2	43-420/420	.==============	0/0	90.00	99.73	resfinder	AGDM01000012	fosA	Fosfomycin
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_234307	279	1094	-	aph(3')-Ia_1	1-816/816	===============	0/0	100.00	99.75	resfinder	V00359	aph(3')-Ia	Kanamycin
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_235638	581	1435	-	erm(X)_1	1-855/855	========/======	2/2	99.88	99.18	resfinder	M36726	erm(X)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_237803	126	857	+	erm(A)_2	1-732/732	===============	0/0	100.00	92.21	resfinder	AF002716	erm(A)	Clindamycin;Erythromycin;Lincomycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_242531	546	1654	-	blaCMY-8b_1	39-1144/1149	========/======	1/3	96.26	82.60	resfinder	DQ094251	blaCMY-8b	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefotaxime;Cefoxitin;Ceftazidime;Piperacillin;Piperacillin+Tazobactam;Ticarcillin;Ticarcillin+Clavulanic_acid
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_246248	571	1053	-	dfrA14_5	1-483/483	===============	0/0	100.00	99.38	resfinder	DQ388123	dfrA14	Trimethoprim
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_254135	386	1153	-	blaOXA-464_1	1-762/762	========/======	1/6	100.00	81.51	resfinder	KU721146	blaOXA-464	
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_284080	98	513	-	cat(pC194)_1	1-416/651	==========.....	0/0	63.90	99.76	resfinder	NC_002013	cat(pC194)	Chloramphenicol
/home/user/ww_amr_batch/contigs/SRR35815521.contigs.fa	k141_301919	3646	4129	-	aac(3)-Ia_1	51-534/534	.==============	0/0	90.64	97.73	resfinder	X15852	aac(3)-Ia	Astromicin;Fortimicin;Gentamicin
