#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_10978	42	665	+	cat_2	1-624/624	===============	0/0	100.00	100.00	resfinder	M35190	cat	Chloramphenicol
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_14417	361	1227	+	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_17126	1945	2481	-	catS_1	1-537/537	===============	0/0	100.00	98.14	resfinder	X74948	catS	Chloramphenicol
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_18070	171	1016	-	aadA6_1	1-846/846	===============	0/0	100.00	98.82	resfinder	AF140629	aadA6	Spectinomycin;Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_1820	1	589	-	blaGES-11_1	1-589/864	===========....	0/0	68.17	99.83	resfinder	FJ854362	blaGES-11	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefoxitin;Ceftazidime;Piperacillin;Ticarcillin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_1820	663	1121	-	aac(6')-Il_1	1-459/459	===============	0/0	100.00	100.00	resfinder	U13880	aac(6')-Il	Amikacin;Tobramycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_20676	251	1048	-	aadA13_1	1-798/798	===============	0/0	100.00	99.88	resfinder	AY713504	aadA13	Spectinomycin;Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_22244	402	1238	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_22244	1238	2040	-	aph(3'')-Ib_2	2-804/804	===============	0/0	99.88	100.00	resfinder	AF024602	aph(3'')-Ib	Streptomycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_27469	1238	1732	+	lnu(C)_1	1-495/495	===============	0/0	100.00	99.19	resfinder	AY928180	lnu(C)	Lincomycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_33797	100	573	+	dfrA6_2	1-474/474	===============	0/0	100.00	99.58	resfinder	FJ905898	dfrA6	Trimethoprim
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_33797	2292	2948	+	qnrVC1_1	1-657/657	===============	0/0	100.00	100.00	resfinder	EU436855	qnrVC1	Ciprofloxacin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_37946	307	1137	-	blaOXA-4_1	1-831/831	===============	0/0	100.00	99.88	resfinder	AY162283	blaOXA-4	
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_3796	1614	2558	-	blaBRO-2_1	1-945/945	===============	0/0	100.00	99.89	resfinder	Z54181	blaBRO-2	Amoxicillin;Ampicillin;Penicillin;Piperacillin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_38556	154	978	-	blaOXA-211_1	1-825/825	===============	0/0	100.00	97.82	resfinder	JN861779	blaOXA-211	Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_40172	1	773	+	cfr(C)_2	348-1120/1251	....==========.	0/0	61.79	100.00	resfinder	CANB01000378	cfr(C)	Chloramphenicol;Clindamycin;Dalfopristin;Florfenicol;Lincomycin;Linezolid;Pristinamycin_IIA;Tiamulin;Virginiamycin_M
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_43265	1753	2769	-	msr(D)_3	448-1464/1464	....===========	0/0	69.47	96.95	resfinder	AF227520	msr(D)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Telithromycin;Virginiamycin_S
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_45385	940	1728	-	mef(A)_1	430-1218/1218	.....==========	0/0	64.78	90.11	resfinder	AJ971089	mef(A)	Azithromycin;Erythromycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_45612	1	707	-	cfxA6_1	206-912/996	...===========.	0/0	70.98	96.61	resfinder	GQ342996	cfxA6	
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_47973	50	853	-	lnu(B)_2	1-804/804	===============	0/0	100.00	99.75	resfinder	JQ861959	lnu(B)	Clindamycin;Lincomycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_52681	1690	2334	-	qnrB19_1	1-645/645	===============	0/0	100.00	100.00	resfinder	EU432277	qnrB19	Ciprofloxacin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_533	114	1405	-	CmlA7_1	23-1314/1314	===============	0/0	98.33	99.69	resfinder	JQ639792	CmlA7	Chloramphenicol
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_54598	1	1739	-	tet(M)_4	156-1894/1920	.==============	0/0	90.57	99.37	resfinder	X75073	tet(M)	Doxycycline;Minocycline;Tetracycline
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_56498	335	686	-	lnu(D)_1	144-495/495	....===========	0/0	71.11	83.52	resfinder	EF452177	lnu(D)	Lincomycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_60727	449	1028	-	aac(6')-Ib_1	27-606/606	===============	0/0	95.71	99.83	resfinder	M21682	aac(6')-Ib	Amikacin;Kanamycin;Tobramycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_60727	1422	2648	-	ere(A)_2	1-1227/1227	===============	0/0	100.00	99.84	resfinder	AF099140	ere(A)	Erythromycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_60765	4022	4516	-	lnu(D)_1	1-495/495	===============	0/0	100.00	84.04	resfinder	EF452177	lnu(D)	Lincomycin
/home/user/ww_amr_batch/contigs/SRR2938335.contigs.fa	k141_61821	1841	3316	+	msr(E)_1	1-1476/1476	===============	0/0	100.00	100.00	resfinder	FR751518	msr(E)	Azithromycin;Erythromycin;Pristinamycin_IA;Quinupristin;Virginiamycin_S
